loading policy + frozen prior...
config: {'steps': 5000, 'batch': 128, 'lr': 0.0001, 'max_len': 100, 'temp': 1.0, 'beta_kl': 0.02, 'target_kl': 3.0, 'beta_kl_min': 0.001, 'beta_kl_max': 20.0, 'kl_adapt_factor': 1.5, 'ppo_epochs': 4, 'clip_eps': 0.2, 'lambda_unc': 1.0, 'baseline_momentum': 0.95, 'threshold_window_batches': 20, 'threshold_percentile': 70.0, 'threshold_update_every': 50, 'threshold_init': 0.0, 'threshold_decay': 0.1, 'diversity_filter': True, 'df_bucket_size': 25, 'df_mode': 'generic', 'df_record_threshold': 0.5, 'replay': False, 'replay_capacity': 1000, 'replay_max_per_scaffold': 10, 'replay_min_reward': 0.4, 'replay_k': 24, 'replay_coef': 0.05, 'replay_start': 200, 'log_every': 10, 'save_every': 200, 'out': 'checkpoints/rl_v4a', 'seed': 42}
reward model scheme=A_primary threshold=8.0 lambda_unc=1.0 invalid_reward=-1.0

  step      loss   reward    tau   p_act    unc      kl   beta  valid%  uniq% scaf/uniq  >tau% AD%(top)  dfmult  sat    sec
  1390   -0.0478   -0.125 -0.081   0.035  0.160   3.474  0.002   100.0   96.9     0.661   19.5     83.3   0.999    6   1.13
  1400   -0.0398   -0.106 -0.083   0.025  0.131   4.593  0.003   100.0   93.8     0.583   35.2    100.0   0.995    6   1.17
      saved checkpoint @ step 1400 | examples: ['O=C(O)c1ccc(-c2ccccc2)cc1', 'COc1ccc(/C=C/C(=O)O)cc1', 'CNCC1(Cc2ccccc2)CCC1', 'O=C1CCC(=O)N1CCN1CCOCC1', 'O=C(O)c1ccc(CCCI)cc1']
  1410    0.2907   -0.104 -0.083   0.033  0.129   4.865  0.086    99.2   92.9     0.542   37.5    100.0   0.970    6   1.12
  1420    0.0950   -0.146 -0.083   0.046  0.192   2.404  0.130   100.0  100.0     0.812   10.9     91.7   0.989    6   1.38
  1430   -0.1541   -0.158 -0.083   0.070  0.220   1.853  0.011    99.2  100.0     0.882    7.8    100.0   0.973    6   1.33
  1440   -0.1186   -0.149 -0.083   0.043  0.184   2.373  0.001    99.2  100.0     0.740   10.9    100.0   0.990    6   1.26
  1450   -0.0813   -0.137 -0.087   0.040  0.177   3.006  0.001   100.0   99.2     0.661   14.8    100.0   0.981    6   1.34
  1460   -0.0544   -0.127 -0.087   0.036  0.163   3.587  0.001   100.0   97.7     0.656   25.0    100.0   0.987    6   1.29
  1470   -0.0363   -0.121 -0.087   0.026  0.140   4.407  0.001    99.2   95.3     0.562   31.2    100.0   0.994    6   1.23
  1480    0.1234   -0.099 -0.087   0.021  0.120   5.111  0.038   100.0   91.4     0.470   44.5    100.0   0.997    6   1.15
  1490    0.1015   -0.136 -0.087   0.061  0.197   2.405  0.130   100.0   98.4     0.786   16.4    100.0   0.981    6   1.31
  1500   -0.1123   -0.168 -0.091   0.055  0.215   1.831  0.038    99.2  100.0     0.906    3.9     91.7   0.994    6   1.34
  1510   -0.1051   -0.161 -0.091   0.053  0.206   2.179  0.011    99.2  100.0     0.819    7.0    100.0   0.976    6   1.31
  1520   -0.0810   -0.142 -0.091   0.056  0.198   2.620  0.005   100.0  100.0     0.703   10.9     83.3   0.980    6   1.27
  1530   -0.0495   -0.139 -0.091   0.040  0.179   2.756  0.005   100.0  100.0     0.734   17.2     91.7   0.992    6   1.22
  1540   -0.0399   -0.125 -0.091   0.039  0.164   3.222  0.005   100.0   99.2     0.717   22.7     91.7   0.976    6   1.23
  1550   -0.0256   -0.121 -0.092   0.030  0.151   3.775  0.005   100.0   98.4     0.659   30.5    100.0   0.989    6   1.15
  1560    0.0188   -0.108 -0.092   0.024  0.132   4.408  0.017   100.0   97.7     0.560   31.2     91.7   0.982    7   1.21
  1570    0.0714   -0.111 -0.092   0.032  0.144   4.206  0.038   100.0   99.2     0.520   35.2    100.0   0.989    7   1.20
  1580    0.0144   -0.127 -0.092   0.034  0.161   2.876  0.038   100.0  100.0     0.586   27.3     91.7   0.991    7   1.24
  1590    0.0074   -0.124 -0.092   0.041  0.166   2.958  0.038   100.0   99.2     0.669   26.6    100.0   0.961    7   1.22
  1600   -0.0035   -0.144 -0.094   0.043  0.187   2.396  0.038   100.0  100.0     0.719   13.3     83.3   0.981    7   1.31
      saved checkpoint @ step 1600 | examples: ['CNc1ccnc2ccc(C)cc12', 'CC(=O)NNC(=O)c1ccccc1O', 'COc1ccc(CSc2nnnn2Cc2ccccc2)cc1', 'O=C(O)c1nccn1Cc1ccccc1', 'CCCCCCCCOP(=O)([O-])O']
  1610   -0.0085   -0.142 -0.094   0.042  0.185   2.374  0.038   100.0  100.0     0.758   13.3     91.7   0.997    7   1.36
  1620   -0.0304   -0.161 -0.094   0.049  0.193   2.144  0.017    98.4  100.0     0.722   12.5     91.7   0.997    7   1.16
  1630   -0.0332   -0.144 -0.094   0.046  0.190   2.344  0.011   100.0   99.2     0.709   17.2    100.0   0.973    7   1.30
  1640   -0.0231   -0.133 -0.094   0.038  0.171   2.860  0.011   100.0  100.0     0.688   18.0    100.0   0.978    8   1.14
  1650   -0.0244   -0.116 -0.095   0.029  0.145   3.371  0.011   100.0   97.7     0.640   33.6    100.0   0.993    8   1.16
  1660   -0.0140   -0.116 -0.095   0.036  0.145   3.779  0.011    99.2   96.1     0.582   32.0     91.7   0.991    8   1.12
  1670   -0.0145   -0.104 -0.095   0.029  0.125   4.283  0.011    99.2   92.9     0.619   43.0     91.7   0.991    8   1.09
  1680    0.0512   -0.104 -0.095   0.033  0.129   4.510  0.026    99.2   90.6     0.530   45.3    100.0   0.992    8   1.12
  1690    0.0723   -0.140 -0.095   0.047  0.187   2.498  0.086   100.0  100.0     0.695   17.2    100.0   0.981    8   1.30
  1700   -0.0842   -0.159 -0.097   0.058  0.218   1.662  0.026   100.0  100.0     0.867    4.7     83.3   0.975    8   1.39
  1710   -0.0945   -0.143 -0.097   0.043  0.186   2.086  0.001   100.0  100.0     0.742   12.5     83.3   0.987    8   1.21
  1720   -0.0620   -0.137 -0.097   0.036  0.165   2.951  0.001    99.2  100.0     0.701   23.4    100.0   0.997    8   1.16
  1730   -0.0419   -0.127 -0.097   0.031  0.150   3.359  0.001    99.2   99.2     0.675   28.1    100.0   1.000    8   1.12
  1740   -0.0164   -0.099 -0.097   0.024  0.114   5.112  0.008    99.2   89.0     0.522   49.2    100.0   0.981    8   1.14
  1750    0.1478   -0.121 -0.071   0.034  0.155   3.223  0.086   100.0   98.4     0.643   17.2    100.0   0.995    8   1.20
  1760    0.0617   -0.164 -0.071   0.049  0.197   2.314  0.086    98.4  100.0     0.841    3.9     75.0   1.000    8   1.24
  1770   -0.1002   -0.158 -0.071   0.060  0.218   1.761  0.026   100.0  100.0     0.883    3.9     91.7   0.996    8   1.26
  1780   -0.0940   -0.158 -0.071   0.052  0.202   1.848  0.002    99.2  100.0     0.787    2.3     58.3   0.989    8   1.23
  1790   -0.0668   -0.139 -0.071   0.042  0.181   2.833  0.002   100.0  100.0     0.695   11.7    100.0   0.989    8   1.21
  1800   -0.0582   -0.123 -0.076   0.034  0.157   3.439  0.002   100.0   97.7     0.632   20.3    100.0   0.980    8   1.15
      saved checkpoint @ step 1800 | examples: ['O=C(Nc1ccccc1)Oc1ccccc1', 'O=c1[nH]c2ccc(F)cc2[nH]1', 'CN(C)Cc1ccccc1', 'CCCCc1ccc(O)cc1', 'CCCCCCCCCCCCNC(=O)/C=C/c1ccccc1']
  1810   -0.0460   -0.103 -0.076   0.027  0.131   4.813  0.003   100.0   89.1     0.570   35.2    100.0   0.978    8   1.11
  1820    0.2080   -0.116 -0.076   0.038  0.154   3.897  0.086   100.0   95.3     0.623   21.1    100.0   0.981    8   1.21
  1830   -0.0014   -0.149 -0.076   0.050  0.199   2.253  0.058   100.0  100.0     0.789    5.5    100.0   0.992    8   1.20
  1840   -0.0592   -0.151 -0.076   0.063  0.214   2.029  0.026   100.0  100.0     0.852    9.4     91.7   0.998    8   1.20
  1850   -0.0530   -0.153 -0.082   0.050  0.204   2.076  0.017   100.0  100.0     0.766    5.5     91.7   0.977    8   1.16
  1860   -0.0420   -0.147 -0.082   0.050  0.197   2.325  0.011   100.0  100.0     0.781   13.3    100.0   0.993    8   1.18
  1870   -0.0380   -0.122 -0.082   0.042  0.163   2.956  0.011   100.0   97.7     0.688   26.6    100.0   0.992    8   1.16
  1880   -0.0287   -0.112 -0.082   0.027  0.140   3.754  0.011   100.0  100.0     0.508   31.2    100.0   0.984    8   1.13
  1890   -0.0212   -0.115 -0.082   0.028  0.143   3.301  0.011   100.0   99.2     0.559   28.9    100.0   0.986    8   1.12
  1900   -0.0119   -0.114 -0.083   0.030  0.143   3.769  0.011   100.0   97.7     0.608   26.6     91.7   0.997    8   1.11
  1910   -0.0163   -0.094 -0.083   0.024  0.118   4.451  0.011   100.0   93.0     0.504   40.6    100.0   1.000    9   1.11
  1920    0.1331   -0.097 -0.083   0.033  0.130   4.193  0.058   100.0   95.3     0.557   38.3     91.7   0.982    9   1.16
  1930    0.0325   -0.144 -0.083   0.044  0.188   2.399  0.058   100.0  100.0     0.727   10.2    100.0   0.989    9   1.19
  1940   -0.0579   -0.153 -0.083   0.046  0.191   1.966  0.026    99.2  100.0     0.756    9.4    100.0   0.997    9   1.24
  1950   -0.0707   -0.135 -0.087   0.041  0.176   2.368  0.011   100.0   99.2     0.732   17.2    100.0   0.994    9   1.20
  1960   -0.0342   -0.141 -0.087   0.036  0.169   2.732  0.011    99.2  100.0     0.685   15.6     91.7   0.990    9   1.15
  1970   -0.0269   -0.126 -0.087   0.034  0.160   3.037  0.011   100.0   99.2     0.583   21.1    100.0   0.988    9   1.14
  1980   -0.0225   -0.111 -0.087   0.028  0.139   3.614  0.011   100.0   97.7     0.584   33.6     83.3   0.993    9   1.15
  1990   -0.0211   -0.094 -0.087   0.020  0.114   4.323  0.011   100.0   92.2     0.585   41.4    100.0   0.992    9   1.14
  2000    0.2769   -0.092 -0.059   0.021  0.113   4.587  0.086   100.0   95.3     0.516   24.2     91.7   0.985    9   1.07
      saved checkpoint @ step 2000 | examples: ['O=C(O)c1ccc(Nc2ccccc2)cc1', 'CCCCCCCCCCCC#N', 'CCCCCCCC#N', 'CCCCCCCCN', 'O=C(O)CCCCCCc1ccccc1']
  2010    0.0760   -0.157 -0.059   0.046  0.188   2.373  0.086    98.4  100.0     0.722    4.7    100.0   0.995    9   1.30
  2020   -0.0935   -0.159 -0.059   0.062  0.220   1.734  0.017   100.0  100.0     0.844    2.3    100.0   1.000    9   1.41
  2030   -0.0789   -0.155 -0.059   0.054  0.194   2.222  0.001    98.4  100.0     0.810    6.2     83.3   0.976    9   1.28
  2040   -0.0626   -0.132 -0.059   0.035  0.167   2.740  0.001   100.0   98.4     0.722    7.8     91.7   0.981    9   1.30
  2050   -0.0517   -0.119 -0.064   0.030  0.149   3.484  0.001   100.0   95.3     0.631   18.8     91.7   0.980    9   1.23
  2060   -0.0453   -0.089 -0.064   0.026  0.115   4.952  0.003   100.0   88.3     0.611   38.3    100.0   0.977    9   1.22
  2070    0.1880   -0.092 -0.064   0.019  0.112   4.858  0.058   100.0   91.4     0.513   34.4    100.0   1.000    9   1.11
  2080    0.1785   -0.156 -0.064   0.049  0.197   2.490  0.195    99.2  100.0     0.787    5.5    100.0   1.000    9   1.34
  2090   -0.1713   -0.162 -0.064   0.061  0.222   1.738  0.086   100.0  100.0     0.898    2.3    100.0   0.991    9   1.22
  2100   -0.2223   -0.158 -0.072   0.052  0.202   2.226  0.008    99.2  100.0     0.874    3.9    100.0   0.984    9   1.29
  2110   -0.1395   -0.150 -0.072   0.049  0.199   2.556  0.005   100.0  100.0     0.859    3.9    100.0   0.989    9   1.22
  2120   -0.0846   -0.141 -0.072   0.042  0.183   2.456  0.005   100.0   99.2     0.772   10.9    100.0   0.981    9   1.23
  2130   -0.0569   -0.127 -0.072   0.036  0.163   3.712  0.005   100.0   94.5     0.645   16.4     91.7   0.982    9   1.16
  2140   -0.0335   -0.126 -0.072   0.032  0.150   4.040  0.005    99.2   97.6     0.653   25.0     91.7   0.973    9   1.24
  2150    0.1710   -0.106 -0.074   0.027  0.133   4.739  0.058   100.0   91.4     0.632   32.0     91.7   0.986    9   1.19
  2160    0.0634   -0.146 -0.074   0.046  0.192   2.550  0.086   100.0  100.0     0.750    9.4    100.0   0.988    9   1.15
  2170   -0.0933   -0.165 -0.074   0.062  0.227   1.899  0.017   100.0  100.0     0.852    2.3     83.3   1.000    9   1.22
  2180   -0.0742   -0.151 -0.074   0.048  0.199   2.121  0.011   100.0  100.0     0.812    3.1    100.0   0.989    9   1.31
  2190   -0.0561   -0.132 -0.074   0.041  0.173   2.579  0.011   100.0   99.2     0.701   15.6    100.0   0.978    9   1.21
  2200   -0.0310   -0.144 -0.079   0.042  0.178   2.675  0.011    99.2   99.2     0.746   11.7     91.7   0.997    9   1.28
      saved checkpoint @ step 2200 | examples: ['O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)cc1', 'CC(=O)NCc1ccc(Cl)c(N)c1', 'O=C(CN1C(=O)c2cccc3cccc(c23)C1=O)NCCc1ccccc1', 'FC(F)(F)c1ccc(CN2CCNCC2)cc1', 'Oc1cc(Cc2ccc(Cl)cc2)nc2ccccc12']
  2210   -0.0270   -0.129 -0.079   0.035  0.156   3.205  0.011    99.2   97.6     0.702   25.0    100.0   0.981    9   1.15
  2220   -0.0231   -0.121 -0.079   0.035  0.156   3.206  0.011   100.0   97.7     0.656   22.7     91.7   0.993    9   1.16
  2230   -0.0155   -0.118 -0.079   0.031  0.149   3.371  0.011   100.0   96.9     0.621   21.9     83.3   0.992    9   1.18
  2240   -0.0082   -0.110 -0.079   0.034  0.143   4.052  0.011   100.0   99.2     0.567   27.3     91.7   0.986    9   1.11
  2250   -0.0086   -0.109 -0.079   0.025  0.134   4.029  0.011   100.0   96.1     0.545   27.3    100.0   0.997    9   1.08
  2260    0.0466   -0.096 -0.079   0.028  0.124   4.629  0.026   100.0   94.5     0.537   32.0     91.7   0.989    9   1.10
  2270    0.0403   -0.119 -0.079   0.031  0.150   3.343  0.038   100.0   99.2     0.669   21.1     83.3   0.981    9   1.16
  2280    0.0069   -0.126 -0.079   0.040  0.165   2.713  0.038   100.0  100.0     0.695   18.0     91.7   0.977    9   1.20
  2290   -0.0008   -0.142 -0.079   0.042  0.185   2.326  0.038   100.0   99.2     0.724    8.6     91.7   0.997    9   1.19
  2300   -0.0112   -0.135 -0.083   0.041  0.176   2.421  0.038   100.0   99.2     0.772   22.7     91.7   0.995    9   1.22
  2310   -0.0074   -0.153 -0.083   0.055  0.201   2.038  0.038    99.2  100.0     0.772   13.3    100.0   0.996    9   1.26
  2320   -0.0390   -0.143 -0.083   0.058  0.202   1.926  0.026   100.0  100.0     0.852    9.4    100.0   0.963    9   1.21
  2330   -0.0440   -0.147 -0.083   0.050  0.198   2.163  0.011   100.0   99.2     0.772   14.1    100.0   0.979    9   1.22
  2340   -0.0301   -0.137 -0.083   0.034  0.164   2.634  0.011    99.2  100.0     0.677   17.2     83.3   0.989    9   1.18
  2350   -0.0261   -0.129 -0.085   0.039  0.169   2.646  0.011   100.0  100.0     0.664   20.3     91.7   0.982    9   1.22
  2360   -0.0197   -0.114 -0.085   0.031  0.145   3.671  0.011   100.0   98.4     0.579   31.2    100.0   0.993    9   1.11
  2370   -0.0129   -0.111 -0.085   0.029  0.139   3.854  0.011   100.0   97.7     0.544   33.6     91.7   0.997    9   1.10
  2380    0.0045   -0.099 -0.085   0.024  0.122   4.173  0.017   100.0   94.5     0.554   42.2    100.0   0.989    9   1.09
  2390    0.0342   -0.118 -0.085   0.024  0.127   4.045  0.026    98.4   96.8     0.533   37.5     91.7   0.997    9   1.11
  2400    0.0213   -0.103 -0.071   0.030  0.133   3.817  0.026   100.0   93.8     0.650   29.7    100.0   0.994    9   1.15
      saved checkpoint @ step 2400 | examples: ['O=C(O)Cc1ccc(O)cc1', 'CCc1ccc(C(=O)NCc2ccc(C(=O)NO)cc2)cc1', 'O=C(CCl)Nc1ccc(Cl)c(C(F)(F)F)c1', 'CNCc1cc(COCC2CCCC2)cc(C(F)(F)F)c1', 'Oc1ccc(-c2ccc(-c3ccccc3O)o2)cc1']
  2410    0.0058   -0.108 -0.071   0.031  0.139   3.397  0.026   100.0   98.4     0.603   25.0     83.3   0.994    9   1.14
  2420    0.0019   -0.114 -0.071   0.041  0.155   3.237  0.026   100.0   98.4     0.635   25.0     91.7   0.995   10   1.17
  2430    0.0065   -0.123 -0.071   0.043  0.159   3.241  0.026    99.2   98.4     0.664   22.7    100.0   0.983   10   1.19
  2440   -0.0047   -0.125 -0.071   0.047  0.172   2.636  0.026   100.0  100.0     0.641   15.6    100.0   0.991   10   1.19
  2450    0.0013   -0.117 -0.073   0.045  0.155   3.213  0.026    99.2   98.4     0.680   25.8     91.7   0.959   11   1.19
  2460   -0.0066   -0.114 -0.073   0.072  0.186   2.857  0.026   100.0   99.2     0.701   21.1    100.0   0.958   12   1.17
  2470   -0.0013   -0.110 -0.073   0.090  0.193   3.000  0.026    99.2  100.0     0.654   25.8    100.0   0.941   12   1.17
  2480   -0.0079   -0.103 -0.073   0.113  0.208   3.316  0.026    99.2   97.6     0.718   26.6    100.0   0.929   12   1.26
  2490   -0.0014   -0.121 -0.073   0.066  0.179   3.012  0.026    99.2   99.2     0.746   28.1    100.0   0.965   13   1.25
  2500    0.0053   -0.120 -0.075   0.089  0.201   3.232  0.026    99.2  100.0     0.669   25.0    100.0   0.935   13   1.20
  2510   -0.0089   -0.101 -0.075   0.109  0.210   3.040  0.026   100.0  100.0     0.656   26.6    100.0   0.888   13   1.20
  2520   -0.0116   -0.073 -0.075   0.146  0.219   3.853  0.026   100.0   96.9     0.685   40.6    100.0   0.858   13   1.26
  2530   -0.0133   -0.098 -0.075   0.138  0.236   2.706  0.026   100.0  100.0     0.805   24.2    100.0   0.898   14   1.23
  2540    0.0007   -0.082 -0.075   0.137  0.210   3.864  0.026    99.2   99.2     0.698   36.7    100.0   0.875   16   1.24
  2550    0.0174   -0.060 -0.059   0.202  0.253   4.418  0.026    99.2   97.6     0.758   38.3    100.0   0.836   16   1.28
  2560    0.0080   -0.082 -0.059   0.168  0.242   3.766  0.026    99.2   99.2     0.730   30.5    100.0   0.865   17   1.22
  2570    0.0000   -0.057 -0.059   0.192  0.241   4.018  0.026    99.2   97.6     0.718   37.5    100.0   0.802   19   1.23
  2580    0.0268   -0.111 -0.059   0.111  0.215   3.050  0.038    99.2  100.0     0.756   21.1    100.0   0.904   19   1.23
  2590   -0.0066   -0.111 -0.059   0.101  0.212   2.343  0.038   100.0  100.0     0.766   17.2    100.0   0.927   19   1.27
  2600   -0.0033   -0.127 -0.065   0.100  0.219   2.380  0.038    99.2  100.0     0.717   18.8    100.0   0.924   19   1.26
      saved checkpoint @ step 2600 | examples: ['O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccc2cc(O)ccc2c1', 'O=C(NNC(=S)Nc1ccc(Cl)cc1)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1', 'NCCCCCCC(C(N)=O)C(Br)C1OC(O)C(O)C1O', 'COc1ccc(Nc2nc(-c3cccs3)nc3ccccc23)cc1', 'Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1']
  2610   -0.0208   -0.125 -0.065   0.095  0.220   2.495  0.026   100.0  100.0     0.836   14.8     91.7   0.947   19   1.29
  2620   -0.0186   -0.106 -0.065   0.115  0.221   2.795  0.026   100.0   99.2     0.780   21.1    100.0   0.913   21   1.24
  2630   -0.0174   -0.105 -0.065   0.094  0.199   2.638  0.026   100.0   99.2     0.724   19.5    100.0   0.901   21   1.18
  2640   -0.0094   -0.107 -0.065   0.100  0.199   3.011  0.026    99.2   98.4     0.736   24.2    100.0   0.914   21   1.17
  2650   -0.0097   -0.105 -0.068   0.111  0.209   2.942  0.026    99.2   98.4     0.704   25.0    100.0   0.902   22   1.19
  2660   -0.0050   -0.114 -0.068   0.092  0.198   2.821  0.026    99.2  100.0     0.693   24.2     91.7   0.923   25   1.19
  2670   -0.0095   -0.096 -0.068   0.124  0.220   2.802  0.026   100.0   99.2     0.724   24.2    100.0   0.878   29   1.18
  2680   -0.0063   -0.088 -0.068   0.141  0.229   3.298  0.026   100.0   97.7     0.736   29.7    100.0   0.871   29   1.23
  2690   -0.0062   -0.087 -0.068   0.151  0.237   3.090  0.026   100.0   99.2     0.811   28.1    100.0   0.827   31   1.27
  2700    0.0042   -0.087 -0.068   0.148  0.228   3.618  0.026    99.2   98.4     0.704   34.4    100.0   0.837   31   1.23
  2710    0.0033   -0.102 -0.068   0.117  0.211   3.150  0.026    99.2   99.2     0.690   25.8    100.0   0.880   32   1.26
  2720   -0.0050   -0.105 -0.068   0.116  0.222   2.961  0.026   100.0   99.2     0.740   23.4    100.0   0.916   33   1.24
  2730   -0.0083   -0.080 -0.068   0.149  0.229   3.318  0.026   100.0   97.7     0.752   29.7    100.0   0.855   33   1.25
  2740   -0.0127   -0.065 -0.068   0.184  0.249   3.438  0.026   100.0   99.2     0.732   31.2    100.0   0.809   35   1.31
  2750   -0.0006   -0.060 -0.059   0.189  0.249   3.544  0.026   100.0   99.2     0.748   35.2    100.0   0.788   36   1.31
  2760    0.0005   -0.084 -0.059   0.137  0.221   3.475  0.026   100.0   98.4     0.722   28.1    100.0   0.851   36   1.25
  2770   -0.0025   -0.082 -0.059   0.139  0.222   3.720  0.026   100.0   97.7     0.728   32.8    100.0   0.879   37   1.33
  2780    0.0033   -0.101 -0.059   0.145  0.238   3.004  0.026    99.2   98.4     0.752   24.2    100.0   0.850   39   1.24
  2790    0.0041   -0.105 -0.059   0.122  0.219   3.064  0.026    99.2   98.4     0.744   23.4    100.0   0.906   39   1.38
  2800   -0.0105   -0.081 -0.060   0.155  0.237   3.159  0.026   100.0   98.4     0.690   33.6    100.0   0.846   41   1.26
      saved checkpoint @ step 2800 | examples: ['CC(=O)c1ccc(CCc2ccccc2)cc1', 'Cc1nn(CCCO)c2c1CC(c1ccccc1)C(=O)O2', 'O=C(O)CCCCCCC(=O)O', 'O=C(S)c1cccc(Br)c1', 'C[n+]1ccccc1']
  2810    0.0006   -0.102 -0.060   0.134  0.228   3.057  0.026    99.2  100.0     0.764   28.9    100.0   0.862   44   1.25
  2820   -0.0070   -0.095 -0.060   0.129  0.224   2.884  0.026   100.0   98.4     0.770   22.7    100.0   0.863   45   1.31
  2830   -0.0032   -0.084 -0.060   0.160  0.244   3.569  0.026   100.0   99.2     0.795   32.0    100.0   0.859   46   1.27
  2840   -0.0050   -0.086 -0.060   0.134  0.220   3.395  0.026   100.0  100.0     0.695   28.9    100.0   0.883   47   1.21
  2850   -0.0127   -0.064 -0.059   0.168  0.232   3.571  0.026   100.0   99.2     0.685   35.2    100.0   0.830   48   1.20
  2860   -0.0013   -0.065 -0.059   0.173  0.237   3.833  0.026   100.0   99.2     0.787   28.9    100.0   0.869   48   1.24
  2870    0.0508   -0.033 -0.059   0.226  0.259   4.480  0.038   100.0   95.3     0.697   34.4    100.0   0.758   51   1.26
  2880   -0.0100   -0.129 -0.059   0.085  0.214   2.283  0.038   100.0  100.0     0.797   11.7     91.7   0.961   52   1.25
  2890   -0.0330   -0.124 -0.059   0.074  0.198   2.376  0.026   100.0  100.0     0.758   10.2     83.3   0.975   52   1.24
  2900   -0.0199   -0.117 -0.065   0.097  0.198   2.702  0.026    98.4   96.8     0.738   21.1     91.7   0.924   52   1.24
  2910   -0.0184   -0.104 -0.065   0.125  0.229   2.777  0.026   100.0  100.0     0.719   22.7    100.0   0.878   54   1.23
  2920   -0.0157   -0.082 -0.065   0.155  0.222   3.361  0.026    98.4   99.2     0.736   27.3    100.0   0.883   57   1.20
  2930   -0.0264   -0.053 -0.065   0.163  0.216   3.271  0.026   100.0   98.4     0.714   28.1    100.0   0.861   57   1.21
  2940    0.0244   -0.049 -0.065   0.200  0.234   4.154  0.038    98.4  100.0     0.794   33.6     58.3   0.853   61   1.31
  2950    0.0391   -0.082 -0.066   0.147  0.221   3.113  0.058    99.2  100.0     0.811   21.9     83.3   0.933   61   1.25
  2960   -0.0081   -0.069 -0.066   0.154  0.223   2.730  0.058   100.0  100.0     0.852   15.6     91.7   0.958   61   1.25
  2970   -0.0158   -0.025 -0.066   0.192  0.217   3.441  0.058   100.0   99.2     0.913   18.8     58.3   0.954   61   1.31
  2980    0.0008    0.008 -0.066   0.228  0.220   3.781  0.058   100.0   98.4     0.889   22.7     58.3   0.933   62   1.37
  2990    0.0022   -0.023 -0.066   0.196  0.212   3.230  0.058    99.2   99.2     0.841   16.4     91.7   0.914   62   1.25
  3000    0.0096   -0.108 -0.071   0.160  0.245   2.870  0.058    97.7   99.2     0.863   18.0     91.7   0.949   63   1.34
      saved checkpoint @ step 3000 | examples: ['N[C@H](CCc1ccccc1)C(=O)O', 'O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CCN3CCC(C3)C2)c(-c2cncnc2)c1', 'COc1ccc2c(c1)SC1CC(c3ccccc3)CC=C2C(=O)C1=O', 'CC(C)NCC(=O)Nc1nc2ccc(-c3ccccc3)cc2s1', 'O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CCC(N3CC4(CN(C(=O)N5CCOCC5)C4)C3)C2)c(-c2cn[nH]c2)c1']
  3010   -0.0485   -0.128 -0.071   0.123  0.244   2.102  0.038    99.2  100.0     0.866   10.9     91.7   0.961   64   1.35
  3020   -0.0764   -0.049 -0.071   0.165  0.206   3.561  0.026    99.2   98.4     0.784   21.9     66.7   0.941   64   1.27
  3030    0.1047   -0.095 -0.071   0.154  0.242   3.224  0.086    99.2  100.0     0.843   16.4     58.3   0.970   65   1.37
  3040   -0.0851   -0.150 -0.071   0.099  0.234   1.932  0.017    98.4  100.0     0.833    7.8     83.3   0.949   65   1.30
  3050   -0.1016   -0.098 -0.079   0.113  0.212   2.722  0.008   100.0  100.0     0.828   10.9    100.0   0.943   65   1.25
  3060   -0.0730   -0.042 -0.079   0.154  0.196   3.921  0.008   100.0   96.1     0.707   21.9     83.3   0.892   68   1.26
  3070    0.1379   -0.099 -0.079   0.124  0.215   3.685  0.086    99.2   99.2     0.786   15.6     91.7   0.975   69   1.29
  3080   -0.0605   -0.160 -0.079   0.086  0.223   2.168  0.026    97.7  100.0     0.832   13.3     91.7   0.966   69   1.21
  3090   -0.0757   -0.145 -0.079   0.066  0.211   2.026  0.003   100.0   99.2     0.819    8.6     91.7   0.962   69   1.33
  3100   -0.0736   -0.099 -0.084   0.102  0.193   3.434  0.003    99.2   98.4     0.736   19.5     75.0   0.930   70   1.34
  3110   -0.0514   -0.052 -0.084   0.154  0.207   4.240  0.005   100.0   99.2     0.685   32.8     75.0   0.852   71   1.32
  3120    0.3238   -0.057 -0.084   0.136  0.193   4.297  0.130   100.0   99.2     0.693   36.7     91.7   0.885   73   1.37
  3130   -0.0899   -0.168 -0.084   0.080  0.224   2.013  0.058    97.7  100.0     0.856    7.0     91.7   0.962   73   1.45
  3140   -0.1380   -0.156 -0.084   0.072  0.213   1.905  0.005    98.4  100.0     0.849    6.2     91.7   0.973   74   1.31
  3150   -0.1085   -0.140 -0.089   0.059  0.198   2.291  0.001   100.0  100.0     0.734   14.1     91.7   0.951   74   1.29
  3160   -0.0980   -0.091 -0.089   0.113  0.204   3.610  0.001   100.0  100.0     0.711   28.9     91.7   0.884   74   1.34
  3170   -0.0504   -0.093 -0.089   0.110  0.204   3.628  0.001   100.0   98.4     0.714   28.9     83.3   0.911   74   1.31
  3180    0.1073   -0.065 -0.089   0.135  0.200   4.819  0.038   100.0   97.7     0.696   39.1     83.3   0.832   76   1.31
