loading policy + frozen prior...
config: {'steps': 5000, 'batch': 128, 'lr': 0.0001, 'max_len': 100, 'temp': 1.0, 'beta_kl': 0.02, 'target_kl': 3.0, 'beta_kl_min': 0.001, 'beta_kl_max': 20.0, 'kl_adapt_factor': 1.5, 'ppo_epochs': 4, 'clip_eps': 0.2, 'lambda_unc': 1.0, 'baseline_momentum': 0.95, 'threshold_window_batches': 20, 'threshold_percentile': 70.0, 'threshold_update_every': 50, 'threshold_init': 0.0, 'threshold_decay': 0.1, 'diversity_filter': True, 'df_bucket_size': 25, 'df_mode': 'generic', 'df_record_threshold': 0.5, 'replay': False, 'replay_capacity': 1000, 'replay_max_per_scaffold': 10, 'replay_min_reward': 0.4, 'replay_k': 24, 'replay_coef': 0.05, 'replay_start': 200, 'transfer_learning': True, 'tl_every': 500, 'tl_start': 1000, 'tl_epochs': 2, 'tl_batch': 128, 'tl_max_mols': 500, 'tl_min_mols': 50, 'tl_lr': 1e-05, 'tl_max_kl': 8.0, 'log_every': 10, 'save_every': 200, 'out': 'checkpoints/rl_v5b', 'seed': 42}
reward model scheme=A_primary threshold=8.0 lambda_unc=1.0 invalid_reward=-1.0

  step      loss   reward    tau   p_act    unc      kl   beta  valid%  uniq% scaf/uniq  >tau% AD%(top)  dfmult  sat   buf  bscaf   rnll    sec
   270   -0.0883   -0.166 -0.056   0.074  0.225   1.443  0.005    98.4  100.0     0.802    1.6     91.7   0.994    0     9      4  0.000   0.84
   280   -0.0640   -0.155 -0.056   0.063  0.210   2.039  0.001    99.2  100.0     0.795    3.1     91.7   0.994    0    11      5  0.000   0.78
   290   -0.0589   -0.126 -0.056   0.048  0.174   2.833  0.001   100.0   98.4     0.667   10.9    100.0   0.992    0    13      7  0.000   1.05
   300   -0.0549   -0.112 -0.062   0.037  0.141   4.191  0.001    99.2   94.5     0.567   21.1    100.0   0.990    1    14      7  0.000   1.00
   310    0.0323   -0.071 -0.062   0.065  0.136   5.295  0.017   100.0   79.7     0.500   29.7    100.0   0.960    1    17      8  0.000   1.04
   320    0.0922   -0.136 -0.062   0.048  0.184   2.927  0.086   100.0   98.4     0.619   14.1    100.0   1.000    1    19      9  0.000   1.05
   330   -0.1036   -0.157 -0.062   0.062  0.219   1.717  0.008   100.0   99.2     0.819    6.2     91.7   0.999    1    22     11  0.000   1.04
   340   -0.1034   -0.114 -0.062   0.102  0.208   2.758  0.001    99.2   97.6     0.758   10.2    100.0   0.981    1    27     11  0.000   1.27
   350   -0.0645   -0.091 -0.069   0.100  0.190   3.526  0.001   100.0   95.3     0.664   15.6    100.0   0.942    2    30     11  0.000   0.92
   360   -0.0125    0.022 -0.069   0.196  0.174   6.017  0.011   100.0   77.3     0.606   40.6    100.0   0.834    2    32     11  0.000   0.96
   370    0.0803   -0.111 -0.069   0.073  0.183   2.792  0.086   100.0   99.2     0.764   10.2     91.7   0.982    2    38     12  0.000   1.00
   380   -0.0691   -0.181 -0.069   0.064  0.221   1.252  0.008    97.7  100.0     0.880    2.3     91.7   0.998    2    48     17  0.000   0.97
   390   -0.0734   -0.133 -0.069   0.082  0.215   2.376  0.001   100.0  100.0     0.781    7.8    100.0   0.981    2    56     17  0.000   0.92
   400   -0.0564   -0.118 -0.075   0.064  0.182   3.215  0.001   100.0   98.4     0.698   15.6    100.0   0.969    3    69     23  0.000   0.91
      saved checkpoint @ step 400 | examples: ['Nc1ncnc2c1ncn2C[C@@H](O)CP(=O)(O)O', 'O=C(O)CCCCCCc1ccccc1', 'O=P(O)(O)Cc1ccc(Cc2ccccc2)cc1', 'CCC(=O)Nn1ccc2ncccc21', 'CC(C)(C)CCc1cc(I)c(O)c(I)c1']
   410   -0.0431   -0.054 -0.075   0.141  0.195   5.281  0.008   100.0   97.7     0.600   25.0    100.0   0.927    4    81     30  0.000   1.00
   420    0.8024   -0.104 -0.075   0.112  0.193   4.436  0.292    97.7  100.0     0.672   20.3     91.7   0.973    5   118     45  0.000   0.83
   430   -0.2571   -0.181 -0.075   0.069  0.235   1.361  0.038    98.4  100.0     0.897    2.3     91.7   0.991    5   119     45  0.000   1.34
   440   -0.2007   -0.168 -0.075   0.061  0.221   1.573  0.001    99.2  100.0     0.858    6.2     91.7   0.983    5   119     45  0.000   0.68
   450   -0.1343   -0.153 -0.082   0.053  0.206   2.164  0.001   100.0  100.0     0.766    9.4    100.0   0.999    5   119     45  0.000   0.82
   460   -0.0800   -0.149 -0.082   0.045  0.186   2.712  0.001    99.2  100.0     0.709   13.3    100.0   0.991    5   119     45  0.000   1.01
   470   -0.0668   -0.125 -0.082   0.039  0.164   3.749  0.001   100.0   95.3     0.705   24.2    100.0   0.990    5   119     45  0.000   1.09
   480   -0.0321   -0.106 -0.082   0.027  0.133   5.342  0.005   100.0   85.2     0.550   34.4    100.0   0.997    5   119     45  0.000   1.13
   490    0.3082   -0.119 -0.082   0.036  0.155   4.026  0.130   100.0   97.7     0.688   27.3    100.0   0.989    5   119     45  0.000   1.00
   500   -0.1134   -0.172 -0.084   0.061  0.217   1.916  0.026    98.4  100.0     0.841    7.0     91.7   0.975    5   119     45  0.000   1.02
   510   -0.1107   -0.157 -0.084   0.054  0.211   1.947  0.001   100.0   98.4     0.794    6.2     83.3   0.991    5   119     45  0.000   1.19
   520   -0.0677   -0.150 -0.084   0.050  0.200   2.324  0.001   100.0  100.0     0.742    7.0    100.0   0.989    5   119     45  0.000   1.01
   530   -0.0519   -0.134 -0.084   0.041  0.175   3.069  0.001   100.0   98.4     0.571   18.0    100.0   0.990    5   119     45  0.000   1.09
   540   -0.0528   -0.108 -0.084   0.036  0.145   4.221  0.001   100.0   90.6     0.578   30.5    100.0   0.987    5   119     45  0.000   1.03
   550    0.0839   -0.121 -0.081   0.026  0.132   4.858  0.026    98.4   91.3     0.522   28.1    100.0   0.980    5   119     45  0.000   0.89
   560    0.1908   -0.146 -0.081   0.048  0.186   2.497  0.195    99.2  100.0     0.811    9.4    100.0   0.998    5   119     45  0.000   1.03
   570   -0.1959   -0.168 -0.081   0.057  0.217   1.928  0.008    99.2  100.0     0.913    2.3     91.7   0.988    5   119     45  0.000   0.92
   580   -0.1464   -0.141 -0.081   0.044  0.184   2.395  0.001   100.0   99.2     0.732   11.7    100.0   0.982    5   119     45  0.000   0.99
   590   -0.0877   -0.142 -0.081   0.047  0.189   2.428  0.001   100.0  100.0     0.766   11.7     91.7   0.992    5   119     45  0.000   1.01
   600   -0.0662   -0.131 -0.086   0.037  0.168   3.308  0.001   100.0   96.9     0.613   22.7    100.0   1.000    5   119     45  0.000   1.14
      saved checkpoint @ step 600 | examples: ['CN(C)CCCNC(=O)c1cccc(CN)c1', 'Cn1cc(N)c(-c2ccccc2O)n1', 'COc1ccc(C(C)=O)cc1', 'c1ccc(CNc2ncc[nH]2)cc1', 'CCCCCCCCCCCCCCNCC(O)CO']
   610   -0.0331   -0.140 -0.086   0.037  0.169   3.270  0.001    99.2   98.4     0.640   16.4    100.0   0.998    5   119     45  0.000   0.97
   620   -0.0392   -0.105 -0.086   0.025  0.130   4.811  0.002   100.0   92.2     0.585   39.1    100.0   0.996    5   119     45  0.000   1.05
   630    0.1829   -0.103 -0.086   0.028  0.131   4.801  0.058   100.0   90.6     0.526   37.5    100.0   0.990    5   119     45  0.000   0.94
   640    0.0859   -0.154 -0.086   0.051  0.197   2.318  0.130    99.2   98.4     0.760   11.7     91.7   0.990    5   119     45  0.000   0.99
   650   -0.1460   -0.157 -0.090   0.054  0.210   2.000  0.008   100.0  100.0     0.828    6.2    100.0   0.990    5   119     45  0.000   1.00
   660   -0.1001   -0.155 -0.090   0.045  0.191   2.208  0.001    99.2  100.0     0.787    9.4    100.0   0.988    5   119     45  0.000   0.99
   670   -0.0675   -0.142 -0.090   0.043  0.186   2.782  0.001   100.0   99.2     0.780   13.3    100.0   0.988    5   119     45  0.000   0.97
   680   -0.0475   -0.133 -0.090   0.036  0.162   3.477  0.001    99.2   99.2     0.651   23.4     91.7   0.980    5   119     45  0.000   0.96
   690   -0.0189   -0.106 -0.090   0.025  0.123   5.383  0.008    99.2   81.9     0.577   41.4    100.0   0.987    5   119     45  0.000   0.95
   700    0.1500   -0.124 -0.081   0.035  0.160   3.435  0.086   100.0   97.7     0.600   18.0    100.0   1.000    5   119     45  0.000   1.00
   710   -0.0777   -0.149 -0.081   0.051  0.200   1.850  0.026   100.0   99.2     0.811    8.6    100.0   0.988    5   119     45  0.000   0.99
   720   -0.0775   -0.152 -0.081   0.052  0.204   1.970  0.002   100.0  100.0     0.781    3.9     83.3   0.982    5   119     45  0.000   1.01
   730   -0.0556   -0.139 -0.081   0.043  0.182   2.830  0.002   100.0   97.7     0.768   11.7    100.0   0.985    5   119     45  0.000   0.99
   740   -0.0305   -0.144 -0.081   0.042  0.178   3.039  0.002    99.2   99.2     0.683   14.1     91.7   0.996    5   119     45  0.000   0.93
   750   -0.0406   -0.115 -0.084   0.030  0.145   4.078  0.002   100.0   95.3     0.672   26.6    100.0   1.000    5   119     45  0.000   1.08
   760    0.0268   -0.093 -0.084   0.023  0.116   5.250  0.017   100.0   84.4     0.565   43.8    100.0   0.980    5   119     45  0.000   1.00
   770    0.0806   -0.131 -0.084   0.040  0.171   3.194  0.058   100.0   95.3     0.672   21.9    100.0   0.994    5   119     45  0.000   0.94
   780    0.0236   -0.142 -0.084   0.045  0.188   2.446  0.058   100.0   99.2     0.756   16.4    100.0   0.998    5   119     45  0.000   1.05
   790   -0.0701   -0.167 -0.084   0.054  0.205   1.675  0.011    98.4  100.0     0.810    5.5     91.7   0.983    5   119     45  0.000   0.98
   800   -0.0677   -0.153 -0.089   0.048  0.193   2.246  0.001    99.2  100.0     0.764   12.5    100.0   0.988    5   119     45  0.000   0.98
      saved checkpoint @ step 800 | examples: ['NCCCCC(=O)Oc1ccc(/C(=C(\\CCCl)c2ccccc2)c2ccccc2)cc1', 'CN1CCCCC1C(=O)NC1C2CC3CC(C2)CC1C3', 'Cc1ccccc1NC(=O)CNC(=O)c1cccs1', 'COc1ccc(F)cc1-c1ccnc2[nH]c(C3=CCN(C4CCCCC4)CC3)cc12', 'CCC[C@@H](NCC(=O)C(F)(F)F)C(C)=O']
   810   -0.0490   -0.137 -0.089   0.036  0.166   3.009  0.001    99.2   96.9     0.683   21.1    100.0   0.992    5   119     45  0.000   1.03
   820   -0.0441   -0.117 -0.089   0.035  0.152   3.829  0.001   100.0   93.8     0.608   28.1    100.0   0.981    5   119     45  0.000   0.98
   830   -0.0134   -0.115 -0.089   0.028  0.135   4.339  0.005    99.2   92.9     0.559   32.8    100.0   0.998    5   119     45  0.000   0.99
   840    0.2927   -0.116 -0.089   0.031  0.147   3.785  0.130   100.0   96.1     0.545   28.1     91.7   0.993    5   119     45  0.000   0.91
   850   -0.0845   -0.165 -0.090   0.054  0.211   1.618  0.058    99.2  100.0     0.835    6.2     83.3   0.990    5   119     45  0.000   1.00
   860   -0.1351   -0.149 -0.090   0.053  0.201   2.153  0.003   100.0  100.0     0.852   13.3     83.3   0.994    5   120     46  0.000   0.99
   870   -0.0848   -0.150 -0.090   0.045  0.187   2.540  0.001    99.2   99.2     0.714   13.3    100.0   0.964    5   120     46  0.000   1.00
   880   -0.0579   -0.137 -0.090   0.040  0.177   2.938  0.001   100.0   99.2     0.701   17.2     83.3   0.992    5   120     46  0.000   1.00
   890   -0.0468   -0.121 -0.090   0.033  0.154   3.679  0.001   100.0   96.9     0.629   33.6    100.0   0.986    5   120     46  0.000   0.94
   900    0.0021   -0.097 -0.089   0.022  0.119   5.242  0.011   100.0   85.2     0.523   38.3     83.3   0.998    5   120     46  0.000   0.89
   910    0.2100   -0.130 -0.089   0.039  0.168   3.114  0.130   100.0   98.4     0.635   17.2     91.7   0.978    5   120     46  0.000   1.00
   920    0.0329   -0.180 -0.089   0.053  0.202   2.518  0.086    96.9  100.0     0.823    7.0     66.7   0.993    5   120     46  0.000   1.06
   930   -0.1263   -0.167 -0.089   0.056  0.215   1.912  0.001    99.2  100.0     0.795    3.1    100.0   0.992    5   120     46  0.000   0.92
   940   -0.0841   -0.153 -0.089   0.046  0.192   2.509  0.001    99.2  100.0     0.803    9.4     91.7   0.991    5   120     46  0.000   1.11
   950   -0.0679   -0.138 -0.094   0.035  0.165   3.032  0.001    99.2  100.0     0.646   24.2     91.7   0.998    5   120     46  0.000   1.05
   960   -0.0370   -0.144 -0.094   0.039  0.167   3.409  0.001    98.4   97.6     0.602   23.4    100.0   0.998    5   120     46  0.000   1.09
   970   -0.0467   -0.108 -0.094   0.025  0.133   4.289  0.001   100.0   93.8     0.567   35.2    100.0   0.998    5   120     46  0.000   1.06
   980    0.1233   -0.094 -0.094   0.024  0.118   5.127  0.038   100.0   86.7     0.577   44.5    100.0   0.996    5   120     46  0.000   0.95
   990    0.0943   -0.153 -0.094   0.044  0.189   2.316  0.130    99.2  100.0     0.764   10.2     66.7   0.989    5   120     46  0.000   0.95
      TL @ step 1000: 121 mols, 2/2 epochs, nll 0.572, kl_after 1.98
  1000   -0.1439   -0.178 -0.096   0.056  0.211   1.914  0.011    97.7  100.0     0.856    7.0     66.7   0.993    5   121     47  0.000   0.81
      saved checkpoint @ step 1000 | examples: ['CCCCn1cnnc1SCC(=O)Nc1ccc2c(c1)OCO2', 'CC(C)(C)S(=O)(=O)c1cnc(N2CCNCC2)nc1N', 'CCCNC(CC)Cc1cccc(O)c1O', 'CC#CCN(CC)CCN(C)C', 'Cc1cc2nc(C)c(N(C)Cc3ccccn3)n2nc1C1CC1']
  1010   -0.1108   -0.153 -0.096   0.058  0.210   2.181  0.003   100.0  100.0     0.766   12.5    100.0   0.992    5   121     47  0.000   0.83
  1020   -0.0677   -0.147 -0.096   0.046  0.193   2.510  0.003   100.0  100.0     0.781   12.5     75.0   0.981    5   121     47  0.000   0.86
  1030   -0.0471   -0.136 -0.096   0.041  0.177   3.103  0.003   100.0  100.0     0.688   20.3     91.7   0.995    5   121     47  0.000   1.36
  1040   -0.0345   -0.125 -0.096   0.033  0.158   3.696  0.003   100.0  100.0     0.648   25.8    100.0   0.979    5   121     47  0.000   0.92
  1050    0.0324   -0.106 -0.089   0.025  0.123   4.844  0.017    99.2   89.8     0.553   41.4     50.0   0.982    5   121     47  0.000   0.71
  1060    0.0924   -0.116 -0.089   0.034  0.150   3.604  0.058   100.0   97.7     0.648   32.8     83.3   0.989    5   122     48  0.000   1.13
  1070    0.0275   -0.153 -0.089   0.052  0.189   2.416  0.058    98.4   99.2     0.736   12.5     75.0   0.992    5   122     48  0.000   1.20
  1080   -0.0698   -0.157 -0.089   0.058  0.215   1.868  0.017   100.0   99.2     0.850    7.0     83.3   1.000    5   122     48  0.000   1.16
  1090   -0.0599   -0.162 -0.089   0.054  0.192   2.409  0.002    97.7  100.0     0.768   10.9     91.7   0.989    5   122     48  0.000   1.08
  1100   -0.0446   -0.146 -0.093   0.045  0.191   2.574  0.001   100.0   99.2     0.795   12.5    100.0   0.988    5   122     48  0.000   1.08
  1110   -0.0443   -0.120 -0.093   0.030  0.150   3.509  0.001   100.0   99.2     0.622   29.7    100.0   0.997    5   122     48  0.000   1.01
  1120   -0.0388   -0.099 -0.093   0.029  0.128   4.588  0.002   100.0   95.3     0.516   39.1    100.0   0.991    5   122     48  0.000   1.09
  1130    0.1181   -0.101 -0.093   0.021  0.122   4.735  0.038   100.0   92.2     0.500   46.1    100.0   0.987    5   122     48  0.000   1.07
  1140    0.1216   -0.142 -0.093   0.042  0.184   2.586  0.130   100.0  100.0     0.734    9.4     91.7   0.997    5   122     48  0.000   1.02
  1150   -0.1178   -0.180 -0.096   0.062  0.211   1.968  0.026    96.9  100.0     0.847    6.2     83.3   0.983    5   122     48  0.000   1.08
  1160   -0.1312   -0.148 -0.096   0.054  0.202   1.894  0.001   100.0   99.2     0.756   14.8     91.7   0.984    5   122     48  0.000   1.10
  1170   -0.0781   -0.145 -0.096   0.047  0.192   2.482  0.001   100.0  100.0     0.773   15.6     91.7   0.971    6   122     48  0.000   1.15
  1180   -0.0590   -0.126 -0.096   0.034  0.161   3.291  0.001   100.0   99.2     0.693   29.7    100.0   0.993    6   122     48  0.000   1.19
  1190   -0.0391   -0.123 -0.096   0.034  0.149   4.174  0.001    99.2   97.6     0.581   35.2    100.0   0.997    6   122     48  0.000   1.03
  1200   -0.0092   -0.099 -0.082   0.023  0.122   4.855  0.005   100.0   91.4     0.470   42.2    100.0   0.998    6   123     48  0.000   0.96
      saved checkpoint @ step 1200 | examples: ['O=C(O)c1ccc(CCc2ccccc2)s1', 'CCCCCCCCCCCCCCCCCCc1ccc2nncn2c1', 'O=C(Nc1cccc(F)c1)Nc1cccc(NC(=O)C2CCCO2)c1', 'S=C1CCNC1=S', 'O=C(O)c1ccc(CCCCc2ccccc2)s1']
  1210    0.2181   -0.110 -0.082   0.034  0.144   4.180  0.086   100.0   97.7     0.608   33.6    100.0   0.987    6   123     48  0.000   0.83
  1220    0.0434   -0.151 -0.082   0.050  0.194   2.328  0.086    99.2   99.2     0.810    9.4    100.0   0.989    6   123     48  0.000   0.92
  1230   -0.1233   -0.154 -0.082   0.052  0.206   1.851  0.008   100.0  100.0     0.789    7.0     83.3   1.000    6   123     48  0.000   1.09
  1240   -0.0976   -0.139 -0.082   0.043  0.181   2.453  0.001   100.0   99.2     0.756   13.3     83.3   0.982    6   123     48  0.000   1.20
  1250   -0.0650   -0.132 -0.087   0.047  0.180   2.517  0.001   100.0   99.2     0.787   13.3    100.0   0.987    6   123     48  0.000   1.06
  1260   -0.0469   -0.128 -0.087   0.035  0.162   3.238  0.001   100.0   97.7     0.640   19.5    100.0   0.990    6   123     48  0.000   1.04
  1270   -0.0395   -0.114 -0.087   0.025  0.139   4.153  0.001   100.0   98.4     0.563   33.6    100.0   0.999    6   123     48  0.000   1.02
  1280   -0.0209   -0.097 -0.087   0.020  0.117   4.987  0.005   100.0   93.0     0.471   46.9     75.0   0.993    6   123     48  0.000   1.01
  1290    0.4495   -0.117 -0.087   0.031  0.147   3.746  0.195   100.0   96.1     0.634   25.8    100.0   0.990    6   123     48  0.000   0.91
  1300   -0.0896   -0.176 -0.088   0.059  0.220   1.784  0.086    98.4  100.0     0.833    4.7     75.0   0.992    6   123     48  0.000   1.07
  1310   -0.1947   -0.151 -0.088   0.051  0.202   1.996  0.003   100.0  100.0     0.797    9.4    100.0   0.987    6   123     48  0.000   0.97
  1320   -0.1056   -0.161 -0.088   0.048  0.193   2.722  0.002    98.4  100.0     0.746   10.9    100.0   0.985    6   123     48  0.000   1.00
  1330   -0.0806   -0.131 -0.088   0.045  0.176   2.880  0.002   100.0  100.0     0.688   17.2    100.0   0.977    6   123     48  0.000   1.02
  1340   -0.0552   -0.121 -0.088   0.031  0.151   3.676  0.002   100.0   97.7     0.672   25.8    100.0   0.979    6   123     48  0.000   0.91
  1350   -0.0051   -0.107 -0.088   0.025  0.132   4.566  0.011   100.0   93.8     0.533   32.0     83.3   0.997    6   123     48  0.000   0.67
  1360    0.0609   -0.114 -0.088   0.027  0.133   4.082  0.038    99.2   97.6     0.597   36.7     91.7   0.986    6   123     48  0.000   0.81
  1370    0.0168   -0.128 -0.088   0.035  0.163   3.083  0.038   100.0  100.0     0.648   12.5     75.0   0.992    6   123     48  0.000   0.73
  1380    0.0103   -0.147 -0.088   0.036  0.167   2.748  0.038    98.4  100.0     0.659   18.8    100.0   0.992    6   123     48  0.000   0.78
  1390   -0.0061   -0.144 -0.088   0.048  0.193   2.327  0.038   100.0  100.0     0.719   10.9    100.0   1.000    6   123     48  0.000   0.93
  1400   -0.0419   -0.153 -0.092   0.047  0.192   2.137  0.017    99.2  100.0     0.740   14.1    100.0   0.988    6   123     48  0.000   0.89
      saved checkpoint @ step 1400 | examples: ['CC(=O)Nc1ccccc1NC(=O)CSc1nnc(Nc2ccccc2)s1', 'CCCCCCCCNC(CCOC)c1ccccc1', 'O=C(Nc1ccccc1F)NC1CCN(CCOc2ccccc2Br)CC1', 'CC(c1ncc(-c2ccccc2)o1)c1[nH]ncc1-c1ccc(Oc2ccccc2)cc1', 'O=C(N/N=C/c1ccc(O)cc1O)c1ccc(O)cc1']
  1410   -0.0320   -0.131 -0.092   0.049  0.180   2.621  0.017   100.0  100.0     0.727   18.8     91.7   0.985    6   123     48  0.000   0.97
  1420   -0.0189   -0.138 -0.092   0.039  0.169   2.744  0.017    99.2   99.2     0.675   23.4     83.3   0.979    6   123     48  0.000   0.97
  1430   -0.0170   -0.132 -0.092   0.041  0.173   2.639  0.017   100.0  100.0     0.672   18.8     91.7   0.994    6   123     48  0.000   1.01
  1440   -0.0095   -0.128 -0.092   0.037  0.165   2.998  0.017   100.0  100.0     0.617   26.6     91.7   0.979    6   123     48  0.000   0.91
  1450   -0.0074   -0.128 -0.093   0.039  0.167   3.040  0.017   100.0   98.4     0.643   24.2     91.7   0.979    6   123     48  0.000   1.10
  1460   -0.0029   -0.129 -0.093   0.037  0.166   3.083  0.017   100.0   98.4     0.675   25.8     91.7   0.984    6   123     48  0.000   1.04
  1470   -0.0051   -0.121 -0.093   0.033  0.155   3.222  0.017   100.0   97.7     0.656   30.5     91.7   0.972    6   124     49  0.000   0.87
  1480   -0.0061   -0.115 -0.093   0.033  0.147   3.510  0.017   100.0   96.9     0.669   32.0     91.7   0.996    6   124     49  0.000   0.97
  1490   -0.0031   -0.116 -0.093   0.038  0.154   3.314  0.017   100.0   99.2     0.638   27.3     91.7   0.969    6   124     49  0.000   0.94
      TL @ step 1500: 124 mols, 2/2 epochs, nll 0.392, kl_after 3.75
  1500   -0.0018   -0.105 -0.082   0.037  0.142   3.547  0.017   100.0   98.4     0.603   35.2     91.7   0.996    6   124     49  0.000   1.00
  1510    0.0106   -0.114 -0.082   0.029  0.135   4.063  0.017    99.2   95.3     0.587   35.2    100.0   1.000    6   124     49  0.000   0.97
  1520    0.0117   -0.114 -0.082   0.033  0.131   4.112  0.017    98.4   97.6     0.577   37.5     75.0   0.992    6   125     49  0.000   0.99
  1530    0.0215   -0.094 -0.082   0.042  0.136   4.183  0.026   100.0   95.3     0.566   43.0     91.7   0.976    6   126     49  0.000   1.04
